word1,word2,path_similarity,wu_palmer_similarity,ic_resnik
bank,position,6,0.4,6.215549034912919
bank,amount,10,0.0,6.215549034912919
bank,required,inf,0,6.215549034912919
bank,recovered,inf,0,6.215549034912919
bank,remained,inf,0,6.215549034912919
bank,unpaid,inf,0,6.215549034912919
bank,borrower,9,0.36363636363636365,6.215549034912919
shows,amount,11,0.15384615384615385,7.63693471584408
shows,required,inf,0,7.63693471584408
shows,paid,inf,0,7.63693471584408
shows,recovered,inf,0,7.63693471584408
shows,balance,12,0.14285714285714285,7.63693471584408
shows,remained,inf,0,7.63693471584408
shows,unpaid,inf,0,7.63693471584408
shows,borrower,14,0.0,7.63693471584408
position,amount,10,0.0,6.995080829671685
position,required,inf,0,6.995080829671685
position,paid,inf,0,6.995080829671685
position,recovered,inf,0,6.995080829671685
position,balance,9,0.0,6.995080829671685
position,remained,inf,0,6.995080829671685
position,unpaid,inf,0,6.995080829671685
position,borrower,9,0.36363636363636365,6.995080829671685
amount,recovered,inf,0,5.5700719563711045
amount,balance,9,0.18181818181818182,5.5700719563711045
amount,remained,inf,0,5.5700719563711045
amount,unpaid,inf,0,5.5700719563711045
amount,borrower,11,0.0,5.5700719563711045
required,recovered,inf,0,6.487267256375686
required,balance,inf,0,6.487267256375686
required,remained,inf,0,6.487267256375686
required,unpaid,inf,0,6.487267256375686
required,borrower,inf,0,6.487267256375686
paid,recovered,29,0,6.456084328938998
paid,balance,inf,0,6.456084328938998
paid,remained,inf,0,6.456084328938998
paid,borrower,inf,0,6.456084328938998
recovered,balance,inf,0,8.404189868557747
recovered,remained,inf,0,8.404189868557747
recovered,unpaid,inf,0,8.404189868557747
recovered,borrower,inf,0,8.404189868557747
balance,remained,inf,0,7.336830123393742
